index,user_id,clicks__n_total,clicks__avg_scrollY,clicks__session_gap_cv,clicks__scroll_depth_max,heartbeat__n_total,heartbeat__avg_idle_time,heartbeat__scroll_depth_max,heartbeat__avg_scrollY,q__n_questions_viewed,q__n_unique_urls,q__maj_track,q__n_unique_courses,q__avg_question_number,q__n_active_days,q__revisit_rate,media__n_play_events,media__n_unique_media,media__total_watch_min,media__n_unique_urls,media__media_type_diversity,media__audio_pct,media__completion_rate,label,unique_math_qids,unique_text_qids,unique_quiz_qids,content_entropy,ts__q_bin1,ts__q_bin2,ts__q_bin3,ts__q_trend,ts__q_recency,ts__pv_bin1,ts__pv_bin2,ts__pv_bin3,ts__pv_trend,ts__pv_recency,ts__score_first,ts__score_last,ts__score_delta
3,568,1454.0,0.0,11.206933992913676,0.0,14891,1759549362.9120805,0.0,0.0,131.0,12.0,1.0,2.0,0.0,11.0,0.9923664122137404,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1,0.0,0.0,93.0,0.8836263055257825,17.0,0.0,0.0,-17.0,0.0,36.0,4.0,5.0,-31.0,0.1111111111111111,,,
4,569,1639.0,0.0,14.564810411614785,0.0,14074,1759305076.8085089,0.0,0.0,166.0,10.0,1.0,2.0,0.0,13.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1,27.0,22.0,99.0,0.9994088450661615,0.0,5.0,0.0,0.0,0.0,0.0,57.0,84.0,84.0,0.5957446808510638,,,
7,574,8244.0,0.0,17.020322783605064,0.0,18598,1760613139.8331249,0.0,0.0,355.0,22.0,1.0,2.0,0.0,19.0,0.9887323943661972,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1,9.0,19.0,171.0,0.8731804739613913,56.0,35.0,7.0,-49.0,0.07142857142857142,183.0,91.0,17.0,-166.0,0.058419243986254296,,,
8,575,5778.0,0.0,18.37289727910828,0.0,17096,1760345694.5180702,0.0,0.0,469.0,32.0,1.0,2.0,0.0,24.0,1.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,1,0.0,81.0,277.0,1.0328359050514628,83.0,93.0,41.0,-42.0,0.1889400921658986,202.0,168.0,186.0,-16.0,0.3345323741007194,,,
9,577,986.0,0.0,14.75716855037279,0.0,11217,1760093736.5161405,0.0,0.0,20.0,2.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,0.0,0.0,24.0,0.4867393936210059,0.0,2.0,9.0,9.0,0.8181818181818182,77.0,61.0,48.0,-29.0,0.25806451612903225,,,
14,584,3299.0,0.0,18.45197450441478,0.0,10627,1760176482.7293458,0.0,0.0,329.0,22.0,1.0,2.0,0.0,12.0,0.9878419452887538,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1,0.0,0.0,176.0,1.2661434221666656,90.0,20.0,0.0,-90.0,0.0,70.0,66.0,19.0,-51.0,0.12258064516129032,,,
15,585,5303.0,0.0,17.18346492235001,0.0,25284,1761052008.363723,0.0,0.0,473.0,28.0,1.0,2.0,0.0,29.0,0.9936575052854123,0.0,1.0,0.0,15.0,1.0,0.0,0.0,1,9.0,41.0,277.0,1.305410006089662,30.0,25.0,74.0,44.0,0.5736434108527132,74.0,177.0,209.0,135.0,0.4543478260869565,,,
16,586,3281.0,0.0,16.604065254150118,0.0,12397,1760367410.2267678,0.0,0.0,474.0,30.0,1.0,2.0,0.0,18.0,1.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,0,0.0,19.0,211.0,0.9853311894904193,139.0,32.0,1.0,-138.0,0.005813953488372093,282.0,54.0,23.0,-259.0,0.06406685236768803,,,
17,587,1948.0,0.0,14.251495773377744,0.0,12066,1759792339.6881948,0.0,0.0,252.0,15.0,1.0,2.0,0.0,12.0,1.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0,9.0,0.0,116.0,1.0466941365710078,58.0,48.0,0.0,-58.0,0.0,99.0,58.0,6.0,-93.0,0.03680981595092025,,,
18,588,989.0,0.0,11.220981865669701,0.0,8143,1761249489.812692,0.0,0.0,44.0,6.0,0.0,1.0,,3.0,0.9545454545454546,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0,0.0,58.0,33.0,1.0831080770686088,5.0,29.0,10.0,5.0,0.22727272727272727,22.0,132.0,34.0,12.0,0.18085106382978725,,,
19,590,2741.0,0.0,15.31218644265883,0.0,14842,1759990932.5901842,0.0,0.0,277.0,22.0,1.0,2.0,0.0,20.0,0.9927797833935018,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1,9.0,0.0,119.0,1.282389483557231,2.0,0.0,0.0,-2.0,0.0,37.0,8.0,22.0,-15.0,0.3283582089552239,,,
22,593,1135.0,0.0,17.022072085306085,0.0,5169,1759269941.7479632,0.0,0.0,179.0,10.0,1.0,1.0,0.0,5.0,0.994413407821229,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,42.0,0.9585986252131422,,,,,,10.0,0.0,6.0,-4.0,0.375,,,
23,596,5092.0,0.0,15.547491177699696,0.0,70024,1759334518.2609236,0.0,0.0,309.0,20.0,1.0,2.0,0.0,19.0,0.9967637540453075,0.0,1.0,0.0,11.0,1.0,0.0,0.0,0,10.0,18.0,256.0,0.8522490884401006,16.0,89.0,0.0,-16.0,0.0,59.0,164.0,21.0,-38.0,0.0860655737704918,,,
25,598,1763.0,0.0,16.27496221491443,0.0,12796,1759968600.8593876,0.0,0.0,367.0,16.0,1.0,2.0,0.0,9.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0,0.0,41.0,225.0,1.1721566957940854,,,,,,,,,,,,,
26,599,3445.0,0.0,13.850206342758671,0.0,41385,1761604028.6015568,0.0,0.0,358.0,13.0,1.0,2.0,0.0,23.0,1.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,1,37.0,83.0,215.0,0.8926296133683491,50.0,21.0,0.0,-50.0,0.0,103.0,122.0,17.0,-86.0,0.07024793388429752,,,
27,600,4140.0,0.0,13.36755213400369,0.0,63124,1760847967.4820805,0.0,0.0,408.0,37.0,0.0,2.0,0.0,27.0,1.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,1,0.0,71.0,331.0,0.9110502103690595,155.0,29.0,101.0,-54.0,0.3543859649122807,77.0,71.0,95.0,18.0,0.39094650205761317,,,
29,602,5132.0,0.0,16.653631487305578,0.0,59800,1760716201.102992,0.0,0.0,345.0,28.0,0.0,2.0,0.0,17.0,1.0,0.0,1.0,0.0,23.0,1.0,0.0,0.0,1,0.0,200.0,317.0,0.862535279318303,117.0,73.0,30.0,-87.0,0.13636363636363635,224.0,154.0,61.0,-163.0,0.13895216400911162,,,
30,603,5660.0,0.0,16.130982511931542,0.0,55032,1761487231.003898,0.0,0.0,415.0,34.0,0.0,2.0,0.0,22.0,0.9975903614457832,0.0,1.0,0.0,5.0,1.0,0.0,0.0,1,0.0,263.0,373.0,0.8165141668827143,154.0,94.0,42.0,-112.0,0.14482758620689656,239.0,165.0,112.0,-127.0,0.21705426356589147,,,
32,605,2648.0,0.0,15.21718392788726,0.0,34992,1759609658.6671534,0.0,0.0,180.0,11.0,1.0,2.0,0.0,13.0,1.0,0.0,1.0,0.0,16.0,1.0,0.0,0.0,0,0.0,19.0,166.0,0.5609365812342979,74.0,46.0,0.0,-74.0,0.0,109.0,73.0,13.0,-96.0,0.06666666666666667,,,
34,607,3511.0,0.0,12.40913065458127,0.0,24024,1760491146.4273098,0.0,0.0,325.0,26.0,0.0,2.0,0.0,16.0,1.0,0.0,1.0,0.0,14.0,1.0,0.0,0.0,1,0.0,45.0,249.0,0.5693737494830642,116.0,13.0,52.0,-64.0,0.287292817679558,75.0,93.0,55.0,-20.0,0.24663677130044842,,,
37,610,3609.0,0.0,11.018242905784776,0.0,47630,1761521931.1756496,0.0,0.0,456.0,35.0,0.0,2.0,0.0,25.0,0.9956140350877193,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0,30.0,288.0,278.0,1.0585374404261436,100.0,85.0,76.0,-24.0,0.29118773946360155,128.0,117.0,123.0,-5.0,0.3342391304347826,,,
39,612,4941.0,0.0,10.000875984760993,0.0,47696,1761391636.3699124,0.0,0.0,607.0,38.0,0.0,2.0,0.0,33.0,1.0,,,,,,,,1,0.0,263.0,365.0,0.9464865641844323,86.0,114.0,159.0,73.0,0.4428969359331476,119.0,102.0,163.0,44.0,0.4244791666666667,,,
40,613,1736.0,0.0,10.785733107504186,0.0,16688,1760610839.9494958,0.0,0.0,350.0,23.0,0.0,1.0,0.0,13.0,0.9971428571428571,,,,,,,,1,0.0,149.0,148.0,1.2277341525665402,63.0,0.0,74.0,11.0,0.5401459854014599,60.0,27.0,34.0,-26.0,0.2809917355371901,,,
41,614,5889.0,0.0,13.92307551098395,0.0,45848,1760442942.5842483,0.0,0.0,485.0,33.0,0.0,2.0,0.0,19.0,1.0,0.0,1.0,0.0,11.0,1.0,0.0,0.0,1,0.0,211.0,265.0,0.905015159277069,180.0,121.0,44.0,-136.0,0.12753623188405797,290.0,153.0,36.0,-254.0,0.07515657620041753,,,
42,615,4237.0,0.0,15.221877843760723,0.0,44082,1761699652.8321862,0.0,0.0,563.0,35.0,0.0,2.0,0.0,19.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0,54.0,108.0,301.0,1.0198324942743693,31.0,187.0,94.0,63.0,0.30128205128205127,73.0,181.0,148.0,75.0,0.3681592039800995,,,
43,616,4484.0,0.0,14.634574188393987,0.0,49042,1760929088.293277,0.0,0.0,567.0,34.0,0.0,2.0,0.0,24.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0,52.0,215.0,299.0,0.8557303641453924,215.0,79.0,84.0,-131.0,0.2222222222222222,150.0,91.0,97.0,-53.0,0.2869822485207101,,,
44,617,4060.0,0.0,12.716422415571179,0.0,45757,1760022160.2407138,0.0,0.0,476.0,34.0,0.0,2.0,0.0,21.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1,0.0,263.0,251.0,0.8316900828448254,77.0,62.0,97.0,20.0,0.4110169491525424,164.0,114.0,85.0,-79.0,0.23415977961432508,,,
45,618,5403.0,0.0,13.333074152379645,0.0,43360,1760881418.366862,0.0,0.0,633.0,35.0,0.0,2.0,0.0,23.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0,0.0,191.0,294.0,1.0308162596761297,48.0,121.0,94.0,46.0,0.3574144486692015,89.0,161.0,58.0,-31.0,0.18831168831168832,,,
46,619,5664.0,0.0,11.32852852339514,0.0,56233,1760897236.5455353,0.0,0.0,477.0,30.0,0.0,2.0,0.0,33.0,1.0,0.0,1.0,0.0,20.0,1.0,0.0,0.0,1,0.0,184.0,303.0,0.9839880907815305,41.0,105.0,65.0,24.0,0.3080568720379147,126.0,170.0,86.0,-40.0,0.225130890052356,,,
50,623,5256.0,0.0,11.500595571401934,0.0,61661,1761131514.914679,0.0,0.0,499.0,33.0,0.0,2.0,0.0,33.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0,63.0,205.0,313.0,0.9618952672794578,137.0,97.0,60.0,-77.0,0.20408163265306123,118.0,113.0,78.0,-40.0,0.2524271844660194,,,
51,624,1520.0,0.0,10.100693790189219,0.0,8089,1761958465.6984,0.0,0.0,182.0,18.0,0.0,1.0,0.0,8.0,0.9835164835164835,,,,,,,,0,0.0,30.0,68.0,0.7781776509811802,26.0,43.0,6.0,-20.0,0.08,72.0,23.0,118.0,46.0,0.5539906103286385,,,
52,625,1827.0,0.0,11.506072888156861,0.0,8151,1761041649.6272607,0.0,0.0,260.0,21.0,0.0,2.0,0.0,11.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0,0.0,0.0,189.0,0.9026475030802465,27.0,24.0,111.0,84.0,0.6851851851851852,84.0,22.0,55.0,-29.0,0.3416149068322981,,,
53,626,1175.0,0.0,9.627476298052285,0.0,10303,1761777092.4271948,0.0,0.0,179.0,17.0,0.0,2.0,0.0,14.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0.0,30.0,138.0,1.0633930457020169,48.0,69.0,20.0,-28.0,0.145985401459854,95.0,44.0,20.0,-75.0,0.12578616352201258,,,
54,627,1199.0,0.0,10.379350519975747,0.0,15270,1761533077.6227648,0.0,0.0,159.0,19.0,0.0,1.0,0.0,18.0,0.9874213836477987,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0,0.0,0.0,139.0,0.9796119326284585,0.0,13.0,70.0,70.0,0.8433734939759037,18.0,26.0,94.0,76.0,0.6811594202898551,,,
56,629,5035.0,0.0,12.945671865311215,0.0,43858,1760611564.2537084,0.0,0.0,497.0,30.0,0.0,2.0,0.0,20.0,1.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,1,0.0,263.0,271.0,1.0068282569886524,100.0,83.0,52.0,-48.0,0.22127659574468084,117.0,91.0,29.0,-88.0,0.12236286919831224,,,
60,636,884.0,0.0,8.782624617868422,0.0,7476,1761047499.0808828,0.0,0.0,77.0,10.0,0.0,1.0,0.0,5.0,0.974025974025974,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0,10.0,30.0,125.0,0.8764912633139355,19.0,30.0,0.0,-19.0,0.0,52.0,57.0,0.0,-52.0,0.0,,,
61,637,707.0,0.0,8.066869976002028,0.0,8925,1760743069.7954001,0.0,0.0,38.0,7.0,0.0,1.0,0.0,5.0,0.9736842105263158,,,,,,,,0,10.0,56.0,17.0,1.3689445257290567,20.0,8.0,0.0,-20.0,0.0,17.0,15.0,8.0,-9.0,0.2,,,
63,639,2099.0,0.0,10.275890187613456,0.0,37352,1762832304.6002526,0.0,0.0,183.0,20.0,0.0,1.0,0.0,19.0,1.0,0.0,1.0,0.0,15.0,1.0,0.0,0.0,1,0.0,30.0,213.0,0.8427901542063327,61.0,62.0,29.0,-32.0,0.19078947368421054,106.0,169.0,48.0,-58.0,0.14860681114551083,,,
66,642,257.0,0.0,13.966381514186518,0.0,595,1757642238.1626585,0.0,0.0,,,,,,,,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1,0.0,0.0,58.0,0.2580186686648155,,,,,,,,,,,,,
